row,issue,div_id,neigh_jaccard
701,issue_1,bloy_texto_citado,0.0
707,issue_1,bloy_texto_citado,0.0
708,issue_1,bloy_texto_citado,0.0
712,issue_1,bloy_texto_citado,0.0
713,issue_1,bloy_texto_citado,0.0
714,issue_1,bloy_texto_citado,0.0
722,issue_1,bloy_texto_citado,0.0
723,issue_1,bloy_texto_citado,0.0
724,issue_1,bloy_texto_citado,0.0
725,issue_1,bloy_texto_citado,0.0
728,issue_1,bloy_texto_citado,0.0
730,issue_1,bloy_texto_citado,0.0
734,issue_1,bloy_texto_citado,0.0
736,issue_1,bloy_texto_citado,0.0
738,issue_1,bloy_texto_citado,0.0
739,issue_1,bloy_texto_citado,0.0
740,issue_1,bloy_texto_citado,0.0
743,issue_1,bloy_texto_citado,0.0
744,issue_1,bloy_texto_citado,0.0
749,issue_1,bloy_texto_citado,0.0
750,issue_1,bloy_texto_citado,0.0
752,issue_1,bloy_texto_citado,0.0
754,issue_1,bloy_texto_citado,0.0
755,issue_1,bloy_texto_citado,0.0
758,issue_1,bloy_texto_citado,0.0
759,issue_1,bloy_texto_citado,0.0
760,issue_1,bloy_texto_citado,0.0
761,issue_1,bloy_texto_citado,0.0
762,issue_1,bloy_texto_citado,0.0
764,issue_1,bloy_texto_citado,0.0
765,issue_1,bloy_texto_citado,0.0
767,issue_1,bloy_texto_citado,0.0
769,issue_1,bloy_texto_citado,0.0
770,issue_1,bloy_texto_citado,0.0
771,issue_1,bloy_texto_citado,0.0
772,issue_1,bloy_texto_citado,0.0
773,issue_1,bloy_texto_citado,0.0
774,issue_1,bloy_texto_citado,0.0
776,issue_1,bloy_texto_citado,0.0
777,issue_1,bloy_texto_citado,0.0
778,issue_1,bloy_texto_citado,0.0
779,issue_1,bloy_texto_citado,0.0
780,issue_1,bloy_texto_citado,0.0
781,issue_1,bloy_texto_citado,0.0
782,issue_1,bloy_texto_citado,0.0
783,issue_1,bloy_texto_citado,0.0
784,issue_1,bloy_texto_citado,0.0
785,issue_1,bloy_texto_citado,0.0
786,issue_1,bloy_texto_citado,0.0
787,issue_1,bloy_texto_citado,0.0
788,issue_1,bloy_texto_citado,0.0
